title,year,role_type,person_name
10 Things I Hate About You,1999,Director,Gil Junger
10 Things I Hate About You,1999,Writer,Karen McCullah
10 Things I Hate About You,1999,Writer,Kirsten Smith
10 Things I Hate About You,1999,Actor,Heath Ledger
10 Things I Hate About You,1999,Actor,Julia Stiles
10 Things I Hate About You,1999,Actor,Joseph Gordon-Levitt
10 Things I Hate About You,1999,Actor,Larisa Oleynik
12 Years a Slave,2013,Director,Steve McQueen
12 Years a Slave,2013,Writer,John Ridley
12 Years a Slave,2013,Writer,Solomon Northup
12 Years a Slave,2013,Actor,Chiwetel Ejiofor
12 Years a Slave,2013,Actor,Dwight Henry
12 Years a Slave,2013,Actor,Dickie Gravois
12 Years a Slave,2013,Actor,Bryan Batt
127 Hours,2010,Director,Danny Boyle
127 Hours,2010,Writer,Danny Boyle
127 Hours,2010,Writer,Simon Beaufoy
127 Hours,2010,Writer,Aron Ralston
127 Hours,2010,Actor,James Franco
127 Hours,2010,Actor,Kate Mara
127 Hours,2010,Actor,Amber Tamblyn
127 Hours,2010,Actor,Sean Bott
17 Again,2009,Director,Burr Steers
17 Again,2009,Writer,Jason Filardi
17 Again,2009,Actor,Zac Efron
17 Again,2009,Actor,Leslie Mann
17 Again,2009,Actor,Thomas Lennon
17 Again,2009,Actor,Matthew Perry
2012,2009,Director,Roland Emmerich
2012,2009,Writer,Roland Emmerich
2012,2009,Writer,Harald Kloser
2012,2009,Actor,John Cusack
2012,2009,Actor,Amanda Peet
2012,2009,Actor,Chiwetel Ejiofor
2012,2009,Actor,Thandie Newton
21,2008,Director,Robert Luketic
21,2008,Writer,Peter Steinfeld
21,2008,Writer,Allan Loeb
21,2008,Writer,Ben Mezrich
21,2008,Actor,Jim Sturgess
21,2008,Actor,Kevin Spacey
21,2008,Actor,Kate Bosworth
21,2008,Actor,Aaron Yoo
25th Hour,2002,Director,Spike Lee
25th Hour,2002,Writer,David Benioff
25th Hour,2002,Writer,David Benioff
25th Hour,2002,Actor,Edward Norton
25th Hour,2002,Actor,Philip Seymour Hoffman
25th Hour,2002,Actor,Barry Pepper
25th Hour,2002,Actor,Rosario Dawson
28 Days,2000,Director,Betty Thomas
28 Days,2000,Writer,Susannah Grant
28 Days,2000,Actor,Sandra Bullock
28 Days,2000,Actor,Viggo Mortensen
28 Days,2000,Actor,Dominic West
28 Days,2000,Actor,Elizabeth Perkins
28 Days Later...,2002,Director,Danny Boyle
28 Days Later...,2002,Writer,Alex Garland
28 Days Later...,2002,Actor,Alex Palmer
28 Days Later...,2002,Actor,Bindu De Stoppani
28 Days Later...,2002,Actor,Jukka Hiltunen
28 Days Later...,2002,Actor,David Schneider
30 Days of Night,2007,Director,David Slade
30 Days of Night,2007,Writer,Steve Niles
30 Days of Night,2007,Writer,Stuart Beattie
30 Days of Night,2007,Writer,Brian Nelson
30 Days of Night,2007,Writer,Steve Niles
30 Days of Night,2007,Writer,Ben Templesmith
30 Days of Night,2007,Actor,Josh Hartnett
30 Days of Night,2007,Actor,Melissa George
30 Days of Night,2007,Actor,Danny Huston
30 Days of Night,2007,Actor,Ben Foster
30 Minutes or Less,2011,Director,Ruben Fleischer
30 Minutes or Less,2011,Writer,Michael Diliberti
30 Minutes or Less,2011,Writer,Michael Diliberti
30 Minutes or Less,2011,Writer,Matthew Sullivan
30 Minutes or Less,2011,Actor,Jesse Eisenberg
30 Minutes or Less,2011,Actor,Danny McBride
30 Minutes or Less,2011,Actor,Aziz Ansari
30 Minutes or Less,2011,Actor,Nick Swardson
300,2006,Director,Zack Snyder
300,2006,Writer,Zack Snyder
300,2006,Writer,Kurt Johnstad
300,2006,Writer,Michael B. Gordon
300,2006,Writer,Frank Miller
300,2006,Writer,Lynn Varley
300,2006,Actor,Gerard Butler
300,2006,Actor,Lena Headey
300,2006,Actor,Dominic West
300,2006,Actor,David Wenham
3:10 to Yuma,2007,Director,James Mangold
3:10 to Yuma,2007,Writer,Halsted Welles
3:10 to Yuma,2007,Writer,Michael Brandt
3:10 to Yuma,2007,Writer,Derek Haas
3:10 to Yuma,2007,Writer,Elmore Leonard
3:10 to Yuma,2007,Actor,Russell Crowe
3:10 to Yuma,2007,Actor,Christian Bale
3:10 to Yuma,2007,Actor,Logan Lerman
3:10 to Yuma,2007,Actor,Dallas Roberts
42,2013,Director,Brian Helgeland
42,2013,Writer,Brian Helgeland
42,2013,Actor,Chadwick Boseman
42,2013,Actor,Harrison Ford
42,2013,Actor,Nicole Beharie
42,2013,Actor,Christopher Meloni
50/50,2011,Director,Jonathan Levine
50/50,2011,Writer,Will Reiser
50/50,2011,Actor,Joseph Gordon-Levitt
50/50,2011,Actor,Seth Rogen
50/50,2011,Actor,Anna Kendrick
50/50,2011,Actor,Bryce Dallas Howard
8MM,1999,Director,Joel Schumacher
8MM,1999,Writer,Andrew Kevin Walker
8MM,1999,Actor,Nicolas Cage
8MM,1999,Actor,Joaquin Phoenix
8MM,1999,Actor,James Gandolfini
8MM,1999,Actor,Peter Stormare
A Beautiful Mind,2001,Director,Ron Howard
A Beautiful Mind,2001,Writer,Akiva Goldsman
A Beautiful Mind,2001,Writer,Sylvia Nasar
A Beautiful Mind,2001,Actor,Russell Crowe
A Beautiful Mind,2001,Actor,Ed Harris
A Beautiful Mind,2001,Actor,Jennifer Connelly
A Beautiful Mind,2001,Actor,Christopher Plummer
A Few Good Men,1992,Director,Rob Reiner
A Few Good Men,1992,Writer,Aaron Sorkin
A Few Good Men,1992,Writer,Aaron Sorkin
A Few Good Men,1992,Actor,Tom Cruise
A Few Good Men,1992,Actor,Jack Nicholson
A Few Good Men,1992,Actor,Demi Moore
A Few Good Men,1992,Actor,Kevin Bacon
A Nightmare on Elm Street,1984,Director,Wes Craven
A Nightmare on Elm Street,1984,Writer,Wes Craven
A Nightmare on Elm Street,1984,Actor,John Saxon
A Nightmare on Elm Street,1984,Actor,Ronee Blakley
A Nightmare on Elm Street,1984,Actor,Heather Langenkamp
A Nightmare on Elm Street,1984,Actor,Amanda Wyss
A Perfect Getaway,2009,Director,David Twohy
A Perfect Getaway,2009,Writer,David Twohy
A Perfect Getaway,2009,Actor,Steve Zahn
A Perfect Getaway,2009,Actor,Timothy Olyphant
A Perfect Getaway,2009,Actor,Milla Jovovich
A Perfect Getaway,2009,Actor,Kiele Sanchez
A Scanner Darkly,2006,Director,Richard Linklater
A Scanner Darkly,2006,Writer,Philip K. Dick
A Scanner Darkly,2006,Writer,Richard Linklater
A Scanner Darkly,2006,Actor,Rory Cochrane
A Scanner Darkly,2006,Actor,Robert Downey Jr.
A Scanner Darkly,2006,Actor,Mitch Baker
A Scanner Darkly,2006,Actor,Keanu Reeves
A Serious Man,2009,Director,Ethan Coen
A Serious Man,2009,Director,Joel Coen
A Serious Man,2009,Writer,Joel Coen
A Serious Man,2009,Writer,Ethan Coen
A Serious Man,2009,Actor,Michael Stuhlbarg
A Serious Man,2009,Actor,Richard Kind
A Serious Man,2009,Actor,Fred Melamed
A Serious Man,2009,Actor,Sari Lennick
A Single Man,2009,Director,Tom Ford
A Single Man,2009,Writer,Christopher Isherwood
A Single Man,2009,Writer,Tom Ford
A Single Man,2009,Writer,David Scearce
A Single Man,2009,Actor,Colin Firth
A Single Man,2009,Actor,Julianne Moore
A Single Man,2009,Actor,Nicholas Hoult
A Single Man,2009,Actor,Matthew Goode
A.I. Artificial Intelligence,2001,Director,Steven Spielberg
A.I. Artificial Intelligence,2001,Writer,Brian Aldiss
A.I. Artificial Intelligence,2001,Actor,Ian Watson
Ace Ventura: Pet Detective,1994,Director,Tom Shadyac
Ace Ventura: Pet Detective,1994,Writer,Jack Bernstein
Ace Ventura: Pet Detective,1994,Writer,Jack Bernstein
Ace Ventura: Pet Detective,1994,Writer,Tom Shadyac
Ace Ventura: Pet Detective,1994,Writer,Jim Carrey
Ace Ventura: Pet Detective,1994,Actor,Jim Carrey
Ace Ventura: Pet Detective,1994,Actor,Courteney Cox
Ace Ventura: Pet Detective,1994,Actor,Sean Young
Ace Ventura: Pet Detective,1994,Actor,Tone Loc
Adaptation.,2002,Director,Spike Jonze
Adaptation.,2002,Writer,Susan Orlean
Adaptation.,2002,Writer,Charlie Kaufman
Adaptation.,2002,Actor,Nicolas Cage
Adaptation.,2002,Actor,Tilda Swinton
Adaptation.,2002,Actor,Meryl Streep
Adaptation.,2002,Actor,Chris Cooper
Adventureland,2009,Director,Greg Mottola
Adventureland,2009,Writer,Greg Mottola
Adventureland,2009,Actor,Jesse Eisenberg
Adventureland,2009,Actor,Kelsey Ledgin
Adventureland,2009,Actor,Michael Zegen
Adventureland,2009,Actor,Ryan McFarland
Air Force One,1997,Director,Wolfgang Petersen
Air Force One,1997,Writer,Andrew W. Marlowe
Air Force One,1997,Actor,Harrison Ford
Air Force One,1997,Actor,Gary Oldman
Air Force One,1997,Actor,Glenn Close
Air Force One,1997,Actor,Wendy Crewson
Airplane!,1980,Director,Jim Abrahams
Airplane!,1980,Director,David Zucker
Airplane!,1980,Director,Jerry Zucker
Airplane!,1980,Writer,Jim Abrahams
Airplane!,1980,Writer,David Zucker
Airplane!,1980,Writer,Jerry Zucker
Airplane!,1980,Actor,Kareem Abdul-Jabbar
Airplane!,1980,Actor,Lloyd Bridges
Airplane!,1980,Actor,Peter Graves
Airplane!,1980,Actor,Julie Hagerty
Aladdin,1992,Director,Ron Clements
Aladdin,1992,Director,John Musker
Aladdin,1992,Writer,Ron Clements
Aladdin,1992,Writer,John Musker
Aladdin,1992,Writer,Ted Elliott
Aladdin,1992,Writer,Terry Rossio
Aladdin,1992,Writer,Burny Mattinson
Aladdin,1992,Writer,Roger Allers
Aladdin,1992,Writer,Daan Jippes
Aladdin,1992,Writer,Kevin Harkey
Aladdin,1992,Writer,Sue C. Nichols
Aladdin,1992,Writer,Francis Glebas
Aladdin,1992,Writer,Darrell Rooney
Aladdin,1992,Writer,Larry Leker
Aladdin,1992,Writer,James Fujii
Aladdin,1992,Writer,Kirk Hanson
Aladdin,1992,Writer,Kevin Lima
Aladdin,1992,Writer,Rebecca Rees
Aladdin,1992,Writer,David S. Smith
Aladdin,1992,Writer,Chris Sanders
Aladdin,1992,Writer,Brian Pimental
Aladdin,1992,Writer,Patrick A. Ventura
Aladdin,1992,Actor,Scott Weinger
Aladdin,1992,Actor,Robin Williams
Aladdin,1992,Actor,Linda Larkin
Aladdin,1992,Actor,Jonathan Freeman
Alice in Wonderland,2010,Director,Tim Burton
Alice in Wonderland,2010,Writer,Linda Woolverton
Alice in Wonderland,2010,Writer,Lewis Carroll
Alice in Wonderland,2010,Actor,Johnny Depp
Alice in Wonderland,2010,Actor,Mia Wasikowska
Alice in Wonderland,2010,Actor,Helena Bonham Carter
Alice in Wonderland,2010,Actor,Anne Hathaway
Alien,1979,Director,Ridley Scott
Alien,1979,Writer,Dan O'Bannon
Alien,1979,Writer,Ronald Shusett
Alien,1979,Writer,Dan O'Bannon
Alien,1979,Actor,Tom Skerritt
Alien,1979,Actor,Sigourney Weaver
Alien,1979,Actor,Veronica Cartwright
Alien,1979,Actor,Harry Dean Stanton
Alien: Resurrection,1997,Director,Jean-Pierre Jeunet
Alien: Resurrection,1997,Writer,Dan O'Bannon
Alien: Resurrection,1997,Writer,Ronald Shusett
Alien: Resurrection,1997,Writer,Joss Whedon
Alien: Resurrection,1997,Actor,Sigourney Weaver
Alien: Resurrection,1997,Actor,Winona Ryder
Alien: Resurrection,1997,Actor,Dominique Pinon
Alien: Resurrection,1997,Actor,Ron Perlman
Aliens,1986,Director,James Cameron
Aliens,1986,Writer,James Cameron
Aliens,1986,Writer,David Giler
Aliens,1986,Writer,Walter Hill
Aliens,1986,Writer,Dan O'Bannon
Aliens,1986,Writer,Ronald Shusett
Aliens,1986,Writer,James Cameron
Aliens,1986,Actor,Sigourney Weaver
Aliens,1986,Actor,Carrie Henn
Aliens,1986,Actor,Michael Biehn
Aliens,1986,Actor,Paul Reiser
All About Steve,2009,Director,Phil Traill
All About Steve,2009,Writer,Kim Barker
All About Steve,2009,Actor,Sandra Bullock
All About Steve,2009,Actor,Thomas Haden Church
All About Steve,2009,Actor,Bradley Cooper
All About Steve,2009,Actor,Ken Jeong
Almost Famous,2000,Director,Cameron Crowe
Almost Famous,2000,Writer,Cameron Crowe
Almost Famous,2000,Actor,Billy Crudup
Almost Famous,2000,Actor,Frances McDormand
Almost Famous,2000,Actor,Kate Hudson
Almost Famous,2000,Actor,Jason Lee
Amadeus,1984,Director,Milos Forman
Amadeus,1984,Writer,Peter Shaffer
Amadeus,1984,Writer,Peter Shaffer
Amadeus,1984,Actor,F. Murray Abraham
Amadeus,1984,Actor,Tom Hulce
Amadeus,1984,Actor,Elizabeth Berridge
Amadeus,1984,Actor,Roy Dotrice
American Beauty,1999,Director,Sam Mendes
American Beauty,1999,Writer,Alan Ball
American Beauty,1999,Actor,Kevin Spacey
American Beauty,1999,Actor,Annette Bening
American Beauty,1999,Actor,Thora Birch
American Beauty,1999,Actor,Wes Bentley
American Graffiti,1973,Director,George Lucas
American Graffiti,1973,Writer,George Lucas
American Graffiti,1973,Writer,Gloria Katz
American Graffiti,1973,Writer,Willard Huyck
American Graffiti,1973,Actor,Richard Dreyfuss
American Graffiti,1973,Actor,Ron Howard
American Graffiti,1973,Actor,Paul Le Mat
American Graffiti,1973,Actor,Charles Martin Smith
American History X,1998,Director,Tony Kaye
American History X,1998,Writer,David McKenna
American History X,1998,Actor,Edward Norton
American History X,1998,Actor,Edward Furlong
American History X,1998,Actor,Beverly D'Angelo
American History X,1998,Actor,Jennifer Lien
American Hustle,2013,Director,David O. Russell
American Hustle,2013,Writer,Eric Warren Singer
American Hustle,2013,Writer,David O. Russell
American Hustle,2013,Actor,Christian Bale
American Hustle,2013,Actor,Bradley Cooper
American Hustle,2013,Actor,Amy Adams
American Hustle,2013,Actor,Jeremy Renner
American Outlaws,2001,Director,Les Mayfield
American Outlaws,2001,Writer,Roderick Taylor
American Outlaws,2001,Writer,Roderick Taylor
American Outlaws,2001,Writer,John Rogers
American Outlaws,2001,Actor,Colin Farrell
American Outlaws,2001,Actor,Scott Caan
American Outlaws,2001,Actor,Ali Larter
American Outlaws,2001,Actor,Gabriel Macht
American Pie,1999,Director,Paul Weitz
American Pie,1999,Director,Chris Weitz
American Pie,1999,Writer,Adam Herz
American Pie,1999,Actor,Jason Biggs
American Pie,1999,Actor,Jennifer Coolidge
American Pie,1999,Actor,Shannon Elizabeth
American Pie,1999,Actor,Alyson Hannigan
American Psycho,2000,Director,Mary Harron
American Psycho,2000,Writer,Bret Easton Ellis
American Psycho,2000,Writer,Mary Harron
American Psycho,2000,Writer,Guinevere Turner
American Psycho,2000,Actor,Christian Bale
American Psycho,2000,Actor,Justin Theroux
American Psycho,2000,Actor,Josh Lucas
American Psycho,2000,Actor,Bill Sage
Amour,2012,Director,Michael Haneke
Amour,2012,Writer,Michael Haneke
Amour,2012,Actor,Jean-Louis Trintignant
Amour,2012,Actor,Emmanuelle Riva
Amour,2012,Actor,Isabelle Huppert
Amour,2012,Actor,Alexandre Tharaud
An Education,2009,Director,Lone Scherfig
An Education,2009,Writer,Lynn Barber
An Education,2009,Writer,Nick Hornby
An Education,2009,Actor,Carey Mulligan
An Education,2009,Actor,Olivia Williams
An Education,2009,Actor,Alfred Molina
An Education,2009,Actor,Cara Seymour
Analyze This,1999,Director,Harold Ramis
Analyze This,1999,Writer,Kenneth Lonergan
Analyze This,1999,Writer,Peter Tolan
Analyze This,1999,Writer,Peter Tolan
Analyze This,1999,Writer,Harold Ramis
Analyze This,1999,Writer,Kenneth Lonergan
Analyze This,1999,Actor,Robert De Niro
Analyze This,1999,Actor,Billy Crystal
Analyze This,1999,Actor,Lisa Kudrow
Analyze This,1999,Actor,Chazz Palminteri
Anastasia,1997,Director,Don Bluth
Anastasia,1997,Director,Gary Goldman
Anastasia,1997,Writer,Susan Gauthier
Anastasia,1997,Writer,Bruce Graham
Anastasia,1997,Writer,Bob Tzudiker
Anastasia,1997,Writer,Noni White
Anastasia,1997,Writer,Eric Tuchman
Anastasia,1997,Actor,Meg Ryan
Anastasia,1997,Actor,John Cusack
Anastasia,1997,Actor,Kelsey Grammer
Anastasia,1997,Actor,Christopher Lloyd
Anchorman: The Legend of Ron Burgundy,2004,Director,Adam McKay
Anchorman: The Legend of Ron Burgundy,2004,Writer,Will Ferrell
Anchorman: The Legend of Ron Burgundy,2004,Writer,Adam McKay
Anchorman: The Legend of Ron Burgundy,2004,Actor,Will Ferrell
Anchorman: The Legend of Ron Burgundy,2004,Actor,Christina Applegate
Anchorman: The Legend of Ron Burgundy,2004,Actor,Paul Rudd
Anchorman: The Legend of Ron Burgundy,2004,Actor,Steve Carell
Anna Karenina,2012,Director,Joe Wright
Anna Karenina,2012,Writer,Tom Stoppard
Anna Karenina,2012,Writer,Leo Tolstoy
Anna Karenina,2012,Actor,Matthew Macfadyen
Anna Karenina,2012,Actor,Eric MacLennan
Anna Karenina,2012,Actor,Kelly Macdonald
Anna Karenina,2012,Actor,Theo Morrissey
Annie Hall,1977,Director,Woody Allen
Annie Hall,1977,Writer,Woody Allen
Annie Hall,1977,Writer,Marshall Brickman
Annie Hall,1977,Actor,Woody Allen
Annie Hall,1977,Actor,Diane Keaton
Annie Hall,1977,Actor,Tony Roberts
Annie Hall,1977,Actor,Carol Kane
Another Year,2010,Director,Mike Leigh
Another Year,2010,Writer,Mike Leigh
Another Year,2010,Actor,Jim Broadbent
Another Year,2010,Actor,Ruth Sheen
Another Year,2010,Actor,Lesley Manville
Another Year,2010,Actor,Oliver Maltman
Antitrust,2001,Director,Peter Howitt
Antitrust,2001,Writer,Howard Franklin
Antitrust,2001,Actor,Ryan Phillippe
Antitrust,2001,Actor,Rachael Leigh Cook
Antitrust,2001,Actor,Claire Forlani
Antitrust,2001,Actor,Tim Robbins
Apocalypse Now,1979,Director,Francis Ford Coppola
Apocalypse Now,1979,Writer,John Milius
Apocalypse Now,1979,Writer,Francis Ford Coppola
Apocalypse Now,1979,Writer,Michael Herr
Apocalypse Now,1979,Actor,Marlon Brando
Apocalypse Now,1979,Actor,Martin Sheen
Apocalypse Now,1979,Actor,Robert Duvall
Apocalypse Now,1979,Actor,Frederic Forrest
Argo,2012,Director,Ben Affleck
Argo,2012,Writer,Chris Terrio
Argo,2012,Writer,Tony Mendez
Argo,2012,Actor,Joshuah Bearman
Armageddon,1998,Director,Michael Bay
Armageddon,1998,Writer,Jonathan Hensleigh
Armageddon,1998,Writer,J.J. Abrams
Armageddon,1998,Writer,Tony Gilroy
Armageddon,1998,Writer,Shane Salerno
Armageddon,1998,Writer,Robert Roy Pool
Armageddon,1998,Writer,Jonathan Hensleigh
Armageddon,1998,Actor,Bruce Willis
Armageddon,1998,Actor,Billy Bob Thornton
Armageddon,1998,Actor,Ben Affleck
Armageddon,1998,Actor,Liv Tyler
Army of Darkness,1992,Director,Sam Raimi
Army of Darkness,1992,Writer,Sam Raimi
Army of Darkness,1992,Writer,Ivan Raimi
Army of Darkness,1992,Actor,Bruce Campbell
Army of Darkness,1992,Actor,Embeth Davidtz
Army of Darkness,1992,Actor,Marcus Gilbert
Army of Darkness,1992,Actor,Ian Abercrombie
Arthur Christmas,2011,Director,Sarah Smith
Arthur Christmas,2011,Director,Barry Cook
Arthur Christmas,2011,Writer,Peter Baynham
Arthur Christmas,2011,Writer,Sarah Smith
Arthur Christmas,2011,Actor,James McAvoy
Arthur Christmas,2011,Actor,Hugh Laurie
Arthur Christmas,2011,Actor,Bill Nighy
Arthur Christmas,2011,Actor,Jim Broadbent
As Good as It Gets,1997,Director,James L. Brooks
As Good as It Gets,1997,Writer,Mark Andrus
As Good as It Gets,1997,Writer,Mark Andrus
As Good as It Gets,1997,Writer,James L. Brooks
As Good as It Gets,1997,Actor,Jack Nicholson
As Good as It Gets,1997,Actor,Helen Hunt
As Good as It Gets,1997,Actor,Greg Kinnear
As Good as It Gets,1997,Actor,Cuba Gooding Jr.
Atonement,2007,Director,Joe Wright
Atonement,2007,Writer,Ian McEwan
Atonement,2007,Writer,Christopher Hampton
Atonement,2007,Actor,Saoirse Ronan
Atonement,2007,Actor,Ailidh Mackay
Atonement,2007,Actor,Brenda Blethyn
Atonement,2007,Actor,Julia West
August: Osage County,2013,Director,John Wells
August: Osage County,2013,Writer,Tracy Letts
August: Osage County,2013,Writer,Tracy Letts
August: Osage County,2013,Actor,Meryl Streep
August: Osage County,2013,Actor,Julia Roberts
August: Osage County,2013,Actor,Chris Cooper
August: Osage County,2013,Actor,Ewan McGregor
Austin Powers: International Man of Mystery,1997,Director,Jay Roach
Austin Powers: International Man of Mystery,1997,Writer,Mike Myers
Austin Powers: International Man of Mystery,1997,Actor,Mike Myers
Austin Powers: International Man of Mystery,1997,Actor,Elizabeth Hurley
Austin Powers: International Man of Mystery,1997,Actor,Michael York
Austin Powers: International Man of Mystery,1997,Actor,Mimi Rogers
Austin Powers: The Spy Who Shagged Me,1999,Director,Jay Roach
Austin Powers: The Spy Who Shagged Me,1999,Writer,Mike Myers
Austin Powers: The Spy Who Shagged Me,1999,Writer,Michael McCullers
Austin Powers: The Spy Who Shagged Me,1999,Writer,Mike Myers
Austin Powers: The Spy Who Shagged Me,1999,Actor,Mike Myers
Austin Powers: The Spy Who Shagged Me,1999,Actor,Heather Graham
Austin Powers: The Spy Who Shagged Me,1999,Actor,Michael York
Austin Powers: The Spy Who Shagged Me,1999,Actor,Robert Wagner
Avatar,2009,Director,James Cameron
Avatar,2009,Writer,James Cameron
Avatar,2009,Actor,Sam Worthington
Avatar,2009,Actor,Zoe Saldana
Avatar,2009,Actor,Sigourney Weaver
Avatar,2009,Actor,Stephen Lang
Away We Go,2009,Director,Sam Mendes
Away We Go,2009,Writer,Dave Eggers
Away We Go,2009,Writer,Vendela Vida
Away We Go,2009,Actor,John Krasinski
Away We Go,2009,Actor,Maya Rudolph
Away We Go,2009,Actor,Carmen Ejogo
Away We Go,2009,Actor,Catherine O'Hara
Back to the Future,1985,Director,Robert Zemeckis
Back to the Future,1985,Writer,Robert Zemeckis
Back to the Future,1985,Writer,Bob Gale
Back to the Future,1985,Actor,Michael J. Fox
Back to the Future,1985,Actor,Christopher Lloyd
Back to the Future,1985,Actor,Lea Thompson
Back to the Future,1985,Actor,Crispin Glover
Back to the Future Part II,1989,Director,Robert Zemeckis
Back to the Future Part II,1989,Writer,Robert Zemeckis
Back to the Future Part II,1989,Writer,Bob Gale
Back to the Future Part II,1989,Writer,Robert Zemeckis
Back to the Future Part II,1989,Writer,Bob Gale
Back to the Future Part II,1989,Writer,Bob Gale
Back to the Future Part II,1989,Actor,Michael J. Fox
Back to the Future Part II,1989,Actor,Christopher Lloyd
Back to the Future Part II,1989,Actor,Lea Thompson
Back to the Future Part II,1989,Actor,Thomas F. Wilson
Back to the Future Part III,1990,Director,Robert Zemeckis
Back to the Future Part III,1990,Writer,Robert Zemeckis
Back to the Future Part III,1990,Writer,Bob Gale
Back to the Future Part III,1990,Writer,Robert Zemeckis
Back to the Future Part III,1990,Writer,Bob Gale
Back to the Future Part III,1990,Writer,Bob Gale
Back to the Future Part III,1990,Actor,Michael J. Fox
Back to the Future Part III,1990,Actor,Christopher Lloyd
Back to the Future Part III,1990,Actor,Mary Steenburgen
Back to the Future Part III,1990,Actor,Thomas F. Wilson
Bad Teacher,2011,Director,Jake Kasdan
Bad Teacher,2011,Writer,Gene Stupnitsky
Bad Teacher,2011,Writer,Lee Eisenberg
Bad Teacher,2011,Actor,Cameron Diaz
Bad Teacher,2011,Actor,Lucy Punch
Bad Teacher,2011,Actor,Jason Segel
Bad Teacher,2011,Actor,Justin Timberlake
Barney's Version,2010,Director,Richard J. Lewis
Barney's Version,2010,Writer,Mordecai Richler
Barney's Version,2010,Writer,Michael Konyves
Barney's Version,2010,Actor,Paul Giamatti
Barney's Version,2010,Actor,Macha Grenon
Barney's Version,2010,Actor,Paul Gross
Barney's Version,2010,Actor,Atom Egoyan
Batman,1989,Director,Tim Burton
Batman,1989,Writer,Bob Kane
Batman,1989,Writer,Sam Hamm
Batman,1989,Writer,Sam Hamm
Batman,1989,Writer,Warren Skaaren
Batman,1989,Actor,Michael Keaton
Batman,1989,Actor,Jack Nicholson
Batman,1989,Actor,Kim Basinger
Batman,1989,Actor,Robert Wuhl
Batman & Robin,1997,Director,Joel Schumacher
Batman & Robin,1997,Writer,Bob Kane
Batman & Robin,1997,Writer,Akiva Goldsman
Batman & Robin,1997,Actor,Arnold Schwarzenegger
Batman & Robin,1997,Actor,George Clooney
Batman & Robin,1997,Actor,Chris O'Donnell
Batman & Robin,1997,Actor,Uma Thurman
Batman Begins,2005,Director,Christopher Nolan
Batman Begins,2005,Writer,Bob Kane
Batman Begins,2005,Writer,David S. Goyer
Batman Begins,2005,Writer,Christopher Nolan
Batman Begins,2005,Writer,David S. Goyer
Batman Begins,2005,Actor,Christian Bale
Batman Begins,2005,Actor,Michael Caine
Batman Begins,2005,Actor,Liam Neeson
Batman Begins,2005,Actor,Katie Holmes
Batman Forever,1995,Director,Joel Schumacher
Batman Forever,1995,Writer,Bob Kane
Batman Forever,1995,Writer,Lee Batchler
Batman Forever,1995,Writer,Janet Scott Batchler
Batman Forever,1995,Writer,Lee Batchler
Batman Forever,1995,Writer,Janet Scott Batchler
Batman Forever,1995,Writer,Akiva Goldsman
Batman Forever,1995,Actor,Val Kilmer
Batman Forever,1995,Actor,Tommy Lee Jones
Batman Forever,1995,Actor,Jim Carrey
Batman Forever,1995,Actor,Nicole Kidman
Batman Returns,1992,Director,Tim Burton
Batman Returns,1992,Writer,Bob Kane
Batman Returns,1992,Writer,Daniel Waters
Batman Returns,1992,Writer,Sam Hamm
Batman Returns,1992,Writer,Daniel Waters
Batman Returns,1992,Actor,Michael Keaton
Batman Returns,1992,Actor,Danny DeVito
Batman Returns,1992,Actor,Michelle Pfeiffer
Batman Returns,1992,Actor,Christopher Walken
Beauty and the Beast,1991,Director,Gary Trousdale
Beauty and the Beast,1991,Director,Kirk Wise
Beauty and the Beast,1991,Writer,Linda Woolverton
Beauty and the Beast,1991,Writer,Brenda Chapman
Beauty and the Beast,1991,Writer,Chris Sanders
Beauty and the Beast,1991,Writer,Burny Mattinson
Beauty and the Beast,1991,Writer,Kevin Harkey
Beauty and the Beast,1991,Writer,Brian Pimental
Beauty and the Beast,1991,Writer,Bruce Woodside
Beauty and the Beast,1991,Writer,Joe Ranft
Beauty and the Beast,1991,Writer,Tom Ellery
Beauty and the Beast,1991,Writer,Kelly Asbury
Beauty and the Beast,1991,Writer,Robert Lence
Beauty and the Beast,1991,Actor,Robby Benson
Beauty and the Beast,1991,Actor,Jesse Corti
Beauty and the Beast,1991,Actor,Rex Everhart
Beauty and the Beast,1991,Actor,Angela Lansbury
Beetlejuice,1988,Director,Tim Burton
Beetlejuice,1988,Writer,Michael McDowell
Beetlejuice,1988,Writer,Larry Wilson
Beetlejuice,1988,Writer,Michael McDowell
Beetlejuice,1988,Writer,Warren Skaaren
Beetlejuice,1988,Actor,Alec Baldwin
Beetlejuice,1988,Actor,Geena Davis
Beetlejuice,1988,Actor,Annie McEnroe
Beetlejuice,1988,Actor,Maurice Page
Being John Malkovich,1999,Director,Spike Jonze
Being John Malkovich,1999,Writer,Charlie Kaufman
Being John Malkovich,1999,Actor,John Cusack
Being John Malkovich,1999,Actor,Cameron Diaz
Being John Malkovich,1999,Actor,Ned Bellamy
Being John Malkovich,1999,Actor,Eric Weinstein
Beloved,1998,Director,Jonathan Demme
Beloved,1998,Writer,Toni Morrison
Beloved,1998,Writer,Akosua Busia
Beloved,1998,Writer,Richard LaGravenese
Beloved,1998,Writer,Adam Brooks
Beloved,1998,Actor,Yada Beener
Beloved,1998,Actor,Emil Pinnock
Beloved,1998,Actor,Calen Johnson
